Name,ADP,Drafts,Min,Max
Bruno Fernandes,1.4,11,1,2
Erling Haaland,1.6,11,1,2
Bukayo Saka,3.8,11,3,5
Dominik Szoboszlai,4.9,11,3,7
Antoine Semenyo,5.0,11,3,7
Cole Palmer,5.4,11,3,11
Florian Wirtz,7.3,11,5,9
Joao Pedro,7.9,11,5,11
Morgan Gibbs-White,10.3,11,7,12
Alexander Isak,10.4,11,8,13
Jeremy Doku,10.6,10,8,14
Declan Rice,11.6,11,7,15
Rayan Cherki,13.9,11,11,18
Matheus Cunha,14.5,11,10,20
Igor Thiago,15.7,11,13,18
Anton Stach,15.8,11,10,20
Morgan Rogers,17.1,11,14,22
Rayan,20.0,11,8,25
Bryan Mbeumo,21.6,11,17,31
Virgil van Dijk,22.5,11,18,32
Pascal Gross,22.7,11,13,34
Mohammed Kudus,22.8,11,17,31
Daniel Munoz,23.5,11,18,29
Gabriel Magalhaes,24.3,11,13,38
Enzo Fernandez,25.0,11,18,29
Pedro Porro,25.9,11,21,32
Yankuba Minteh,26.5,11,19,35
James Tarkowski,26.7,11,13,34
Bruno Guimaraes,29.4,11,20,36
Martin Odegaard,31.3,11,22,44
James Garner,32.5,11,23,38
Cody Gakpo,32.6,11,25,45
Elliot Anderson,33.6,11,20,43
Marcus Tavernier,34.5,11,29,45
Ollie Watkins,35.3,11,25,41
Dango Ouattara,36.4,11,28,49
Viktor Gyokeres,36.8,11,26,46
Iliman Ndiaye,36.8,11,21,44
Neco Williams,42.2,11,34,52
Phil Foden,42.8,11,32,50
Harry Wilson,42.8,11,38,50
Ismaila Sarr,43.9,11,33,57
Enzo Le Fee,44.0,11,37,57
Marc Guehi,45.6,11,36,63
Pedro Neto,45.7,11,37,56
Patrick Dorgu,47.4,11,31,60
Benjamin Sesko,48.0,11,22,62
James Hill,50.2,11,42,55
Jurrien Timber,51.1,11,37,72
Dominic Calvert-Lewin,51.6,11,44,59
Kiernan Dewsbury-Hall,52.3,11,44,67
James Maddison,53.5,11,40,64
Nico O'Reilly,54.7,11,40,71
Nordi Mukiele,57.4,11,49,76
Dominic Solanke,60.2,11,32,87
Danny Ballard,60.5,11,40,81
Amad Diallo,60.9,11,41,74
Mikkel Damsgaard,61.2,11,49,80
