Rank: Player,Team,Pos,DG,JW,TA,AR,RP,DL,BB,DC,OS,Agg.,+/-
1: Bruno Fernandes,MUN,M,1,1,1,1,1,1,1,1,1,1.0,0
2: Erling Haaland,MCI,F,2,2,2,2,2,2,2,2,2,2.0,0
3: Bukayo Saka,ARS,M,4,3,7,4,3,3,4,4,3,3.6,0
4: Cole Palmer,CHE,M,3,6,5,3,4,7,3,3,4,4.0,0
5: Antoine Semenyo,MCI,F,5,4,3,5,5,9,10,5,6,5.6,0
6: Dominik Szoboszlai,LIV,M,6,5,4,7,8,6,5,6,7,6.0,0
7: Jeremy Doku,MCI,M,7,7,8,6,6,4,8,9,9,7.3,0
8: Joao Pedro,CHE,F,13,13,6,8,9,12,7,7,5,8.9,0
9: Florian Wirtz,LIV,M,9,11,9,9,7,8,11,10,18,9.6,0
10: Declan Rice,ARS,M,10,9,13,13,10,11,19,8,8,10.6,0
11: Morgan Gibbs-White,NOT,M,16,8,11,12,14,22,6,11,11,11.9,0
12: Rayan Cherki,MCI,M,11,10,19,11,11,5,50,18,13,13.3,0
13: Alexander Isak,LIV,F,8,16,17,10,19,23,13,12,29,15.7,5
14: Anton Stach,LEE,M,12,20,12,15,16,16,9,23,21,16.0,3
15: Yankuba Minteh,BHA,M,20,19,10,14,21,17,16,22,10,16.7,-2
16: Pascal Gross,BHA,M,19,24,14,18,12,10,26,13,20,17.2,-2
17: Igor Thiago,BRF,F,15,12,26,16,15,18,20,21,16,17.3,-1
18: James Tarkowski,EVE,D,23,14,16,25,13,13,23,17,17,17.6,-3
19: Gabriel Magalhaes,ARS,D,27,17,24,20,18,25,39,15,23,22.0,5
20: Enzo Fernandez,CHE,M,28,22,15,35,23,26,25,20,12,22.8,1
21: Virgil van Dijk,LIV,D,22,18,21,23,24,30,31,14,24,23.2,1
22: Daniel Munoz,CRY,D,18,26,20,24,17,38,33,24,15,23.2,-2
23: Pedro Porro,TOT,D,26,25,30,21,20,15,27,19,26,23.5,0
24: Morgan Rogers,CHE,M,21,40,32,19,28,28,17,16,31,25.2,11
25: Matheus Cunha,MUN,F,17,35,27,17,29,21,14,31,36,25.3,2
26: Bryan Mbeumo,MUN,F,24,27,22,22,26,14,48,37,19,25.3,-1
27: Mohammed Kudus,TOT,M,14,37,23,29,36,45,12,38,22,28.5,1
28: James Garner,EVE,M,42,28,25,37,22,35,29,33,27,30.6,-2
29: Jack Grealish,MCI,M,65,43,18,36,35,32,28,25,14,31.1,-10
30: Cody Gakpo,LIV,F,31,44,33,28,27,19,21,34,49,31.2,-1
31: Marc Guehi,MCI,D,25,15,40,26,30,42,41,27,35,32.1,2
32: Marcus Tavernier,BOU,M,41,33,28,34,34,20,30,32,33,32.1,0
33: Dango Ouattara,BRF,M,39,21,29,31,25,24,49,43,34,32.2,-2
34: Iliman Ndiaye,EVE,M,29,29,41,27,31,33,35,45,25,32.2,-4
35: Bruno Guimaraes,NEW,M,33,52,31,38,41,39,15,26,32,34.4,-1
36: Neco Williams,NOT,D,35,31,36,30,37,34,32,63,45,35.8,6
37: James Hill,BOU,D,37,66,49,46,33,40,36,28,30,38.8,1
38: Patrick Dorgu,MUN,D,60,30,34,44,43,54,18,30,50,40.8,-2
39: Elliot Anderson,MCI,M,36,23,39,33,42,43,55,60,42,41.5,-2
40: Martin Odegaard,ARS,M,34,38,44,43,52,31,22,53,68,42.2,1
41: Ollie Watkins,AVL,F,40,57,43,52,44,46,24,29,48,43.2,-2
42: Matheus Nunes,MCI,D,56,32,52,39,45,72,58,46,28,47.0,3
43: Phil Foden,MCI,M,85,45,37,69,32,27,51,44,56,47.8,3
44: Dominic Calvert-Lewin,LEE,F,48,48,60,42,48,37,61,41,62,49.8,0
45: Adrien Truffert,BOU,D,58,41,54,60,56,62,34,47,37,50.5,3
46: Harry Wilson,LEE,M,47,39,50,51,92,95,38,36,39,51.0,1
47: Jurrien Timber,ARS,D,71,36,42,65,40,57,121,35,47,51.3,-4
48: Maxence Lacroix,CRY,D,67,49,51,53,46,56,92,49,38,53.1,5
49: Enzo Le Fee,SUN,M,38,42,65,68,58,29,44,62,63,53.2,5
50: Ismaila Sarr,CRY,M,44,61,38,71,62,41,47,67,55,54.0,1
51: Danny Ballard,SUN,D,55,88,58,57,39,60,42,61,44,54.0,4
52: Reece James,CHE,D,88,75,53,47,51,66,43,40,52,55.4,-2
53: Nico O'Reilly,MCI,D,43,47,70,66,38,50,77,58,57,56.0,3
54: Nordi Mukiele,SUN,D,61,34,61,56,47,64,69,51,67,58.3,-2
55: Amad Diallo,MUN,M,59,46,45,86,54,36,63,77,70,59.3,-6
56: Mikkel Damsgaard,BRF,M,136,69,46,77,50,55,60,66,41,60.6,2
57: Rayan,BOU,F,30,78,83,32,93,90,37,42,69,61.7,21
58: Viktor Gyokeres,ARS,F,46,56,62,41,78,74,108,39,80,62.6,2
59: Kiernan Dewsbury-Hall,EVE,M,63,71,64,58,53,98,46,50,84,63.4,0
60: Kaoru Mitoma,BHA,M,80,60,55,59,81,53,68,72,53,64.0,1
61: Pedro Neto,CHE,F,54,104,35,50,65,87,79,54,60,64.3,-21
62: Dominic Solanke,TOT,F,32,81,67,63,75,76,45,48,89,65.1,2
63: Lewis Hall,NEW,D,84,67,63,67,59,68,85,59,54,66.8,-1
64: Chris Richards,CRY,D,74,63,66,91,55,52,111,69,40,67.3,-7
65: Jan-Paul van Hecke,TOT,D,72,74,68,61,49,89,118,57,51,67.6,7
66: Antonee Robinson,FUL,D,53,50,79,73,74,51,98,55,95,68.7,2
67: Benjamin Sesko,MUN,F,45,77,56,78,66,48,83,78,79,69.0,-2
68: Youri Tielemans,MUN,M,51,97,77,99,86,47,56,71,58,71.0,3
69: Riccardo Calafiori,ARS,D,49,59,75,40,63,63,119,101,87,71.1,7
70: Malick Thiaw,NEW,D,139,64,69,88,61,49,81,64,71,71.3,-4
71: Marcos Senesi,TOT,D,115,65,59,55,57,96,200,52,43,71.5,-2
72: Kai Havertz,ARS,F,69,55,48,45,84,92,78,86,93,73.3,-2
73: James Maddison,TOT,M,68,133,86,113,60,83,53,75,59,77.9,1
74: Johan Manzambi,AVL,M,66,113,100,49,80,91,70,65,77,78.6,121
75: Omar Alderete,SUN,D,112,58,71,54,67,110,106,56,92,80.2,-8
76: Milos Kerkez,LIV,D,70,51,47,84,72,126,138,70,90,80.6,8
77: Kevin Schade,BRF,F,119,80,76,48,64,44,146,83,103,82.0,-14
78: Alex Iwobi,FUL,M,91,200,90,120,73,58,54,73,73,82.8,-3
79: Jean-Philippe Mateta,CRY,F,50,103,98,80,89,78,40,92,119,84.5,4
80: Eli Kroupi,BOU,F,52,148,72,75,97,106,71,80,91,84.7,2
81: Eberechi Eze,ARS,M,79,72,94,70,68,71,125,105,102,84.9,-4
82: Estevao,CHE,F,82,106,81,107,71,61,97,88,81,86.7,6
83: Pascal Struijk,BHA,D,150,68,92,64,76,123,112,84,64,88.6,-2
84: Mateus Goncalo Espanha Fernandes,TOT,M,87,53,105,94,110,144,90,91,46,90.2,110
85: Sepp van den Berg,BRF,D,126,96,97,62,85,77,82,89,110,91.0,2
86: Michael Kayode,BRF,D,127,54,93,81,79,88,101,93,109,92.2,-7
87: Rayan Ait-Nouri,MCI,D,122,89,73,129,91,93,99,87,61,93.6,-1
88: Alex Scott,BOU,M,92,123,89,114,70,133,64,79,99,95.3,1
89: Rio Ngumoha,LIV,F,120,115,57,95,69,69,95,123,105,95.6,6
90: Jaka Bijol,LEE,D,200,76,99,126,77,99,109,82,76,95.6,0
91: Josko Gvardiol,MCI,D,107,129,96,85,95,108,84,98,82,96.3,5
92: Diego Gomez,BHA,M,143,114,82,98,124,70,102,81,78,97.2,5
93: Adam Wharton,CRY,M,106,138,80,74,129,112,57,85,97,97.8,-2
