Name,FantraxName,Exclude
Joao Pedro,Joao Pedro Junqueira de Jesus,
Rayan,Rayan Vitor Simplicio Rocha,
Reece James,,Y
Estevao,Estevao Willian Almeida de Oliveira Goncalves,
Beto,Norberto Bercique Gomes Betuncal,
Alejandro Garnacho,Alejandro Garnacho Ferreyra,
Evanilson,Francisco Evanilson de Lima Barbosa,
Diogo Dalot,Jose Diogo Dalot Teixeira,
Savio,Savio Moreira de Oliveira,
Murillo,Murillo Santiago Costa dos Santos,
Kevin,Kevin Santos Lopes de Macedo,
Richarlison,Richarlison de Andrade,
Rodri,Rodrigo Hernandez Cascante,
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,
Alisson,Alisson Ramses Becker,
Marc Cucurella,,Y
Samuel Chukwueze,,Y
Andrey Santos,,Y
Max Dowman,,Y
Alex Jimenez,,Y
