"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-"
"*05gcr*","Bruno Fernandes","MUN","M","1","FA","@HUL Sat 7:30AM","713","20.37","0%","0%"
"*061vq*","Erling Haaland","MCI","F","2","FA","BOU Sun 9:00AM","599","17.11","0%","0%"
"*068y0*","Antoine Semenyo","MCI","F","3","FA","BOU Sun 9:00AM","562","15.19","0%","0%"
"*04agz*","Declan Rice","ARS","M","4","FA","COV Fri 3:00PM","544.5","15.12","0%","0%"
"*04spw*","James Garner","EVE","M","5","FA","CRY Sat 10:00AM","544","14.32","0%","0%"
"*05opj*","Elliot Anderson","MCI","M","6","FA","BOU Sun 9:00AM","529.5","13.93","0%","0%"
"*06mn0*","Igor Thiago","BRF","F","7","FA","TOT Sat 12:30PM","525","13.82","0%","0%"
"*06cmm*","Dominik Szoboszlai","LIV","M","8","FA","@NEW Sun 11:30AM","505","14.03","0%","0%"
"*04y92*","Bukayo Saka","ARS","M","9","FA","COV Fri 3:00PM","500.5","16.15","0%","0%"
"*04qr9*","Morgan Gibbs-White","NOT","M","10","FA","LEE Sat 10:00AM","476","12.86","0%","0%"
"*05g2o*","Joao Pedro","CHE","F","11","FA","@FUL Mon 3:00PM","463.5","13.24","0%","0%"
"*05a6e*","Neco Williams","NOT","D","12","FA","LEE Sat 10:00AM","460.5","12.45","0%","0%"
"*0642l*","Casemiro","MUN","M","13","FA","@HUL Sat 7:30AM","451","13.26","0%","0%"
"*06v0p*","Enzo Le Fee","SUN","M","14","FA","@IPS Sat 10:00AM","450","12.5","0%","0%"
"*06uyc*","Adrien Truffert","BOU","D","15","FA","@MCI Sun 9:00AM","445","11.71","0%","0%"
"*068ym*","Enzo Fernandez","CHE","M","16","FA","@FUL Mon 3:00PM","437","12.14","0%","0%"
"*06c6g*","Yankuba Minteh","BHA","M","17","FA","AVL Sun 9:00AM","436","12.82","0%","0%"
"*06zbx*","Anton Stach","LEE","M","18","FA","@NOT Sat 10:00AM","432.5","14.91","0%","0%"
"*05uht*","Morgan Rogers","AVL","M","19","FA","@BHA Sun 9:00AM","424","11.46","0%","0%"
"*063e7*","Marcos Senesi","TOT","D","20","FA","@BRF Sat 12:30PM","423.5","11.45","0%","0%"
"*067yz*","Matheus Cunha","MUN","F","21","FA","@HUL Sat 7:30AM","420.5","12.74","0%","0%"
"*06fup*","Jeremy Doku","MCI","M","22","FA","BOU Sun 9:00AM","420","14","0%","0%"
"*0639x*","Marcus Tavernier","BOU","M","23","FA","@MCI Sun 9:00AM","414.5","12.19","0%","0%"
"*05ylj*","Bruno Guimaraes","NEW","M","24","FA","LIV Sun 11:30AM","409.5","14.12","0%","0%"
"*06pe1*","Mateus Goncalo Espanha Fernandes","TOT","M","25","FA","@BRF Sat 12:30PM","409","11.36","0%","0%"
"*050jq*","Marc Guehi","MCI","D","26","FA","BOU Sun 9:00AM","409","11.69","0%","0%"
"*067yv*","Cody Gakpo","LIV","F","27","FA","@NEW Sun 11:30AM","407.5","11.32","0%","0%"
"*05n07*","Pedro Porro","TOT","D","28","FA","@BRF Sat 12:30PM","406.5","11.96","0%","0%"
"*0427d*","James Tarkowski","EVE","D","29","FA","CRY Sat 10:00AM","405","10.95","0%","0%"
"*03rxs*","Harry Wilson","LEE","M","30","FA","@NOT Sat 10:00AM","402","11.17","0%","0%"
"*06v07*","Rayan Cherki","MCI","M","31","FA","BOU Sun 9:00AM","400.5","12.14","0%","0%"
"*05ocl*","Ollie Watkins","AVL","F","32","FA","@BHA Sun 9:00AM","400.5","10.82","0%","0%"
"*06fxe*","Ryan Gravenberch","LIV","M","33","FA","@NEW Sun 11:30AM","397.5","11.04","0%","0%"
"*05akv*","Tyrick Mitchell","CRY","D","34","FA","@EVE Sat 10:00AM","391","10.29","0%","0%"
"*05r94*","Iliman Ndiaye","EVE","M","35","FA","CRY Sat 10:00AM","386.5","12.08","0%","0%"
"*067x8*","Nico O'Reilly","MCI","D","36","FA","BOU Sun 9:00AM","380.5","11.19","0%","0%"
"*06v21*","Florian Wirtz","LIV","M","37","FA","@NEW Sun 11:30AM","380","11.52","0%","0%"
"*05trb*","Bryan Mbeumo","MUN","F","38","FA","@HUL Sat 7:30AM","379.5","11.5","0%","0%"
"*0703c*","Nordi Mukiele","SUN","D","39","FA","@IPS Sat 10:00AM","378","11.81","0%","0%"
"*06rgg*","Michael Kayode","BRF","D","40","FA","TOT Sat 12:30PM","377.5","10.2","0%","0%"
"*067zv*","Kevin Schade","BRF","F","41","FA","TOT Sat 12:30PM","377.5","10.79","0%","0%"
"*049tq*","Dominic Calvert-Lewin","LEE","F","42","FA","@NOT Sat 10:00AM","374","10.69","0%","0%"
"*063zi*","Matheus Nunes","MCI","D","43","FA","BOU Sun 9:00AM","374","11","0%","0%"
"*06f8y*","Alex Scott","BOU","M","44","FA","@MCI Sun 9:00AM","371","10.03","0%","0%"
"*056iy*","Pedro Neto","CHE","F","45","FA","@FUL Mon 3:00PM","369","10.85","0%","0%"
"*06y9z*","Martin Zubimendi","ARS","M","46","FA","COV Fri 3:00PM","368.5","9.7","0%","0%"
"*05oh0*","Jan-Paul van Hecke","TOT","D","47","FA","@BRF Sat 12:30PM","367.5","10.21","0%","0%"
"*04abb*","Phil Foden","MCI","M","48","FA","BOU Sun 9:00AM","362.5","10.98","0%","0%"
"*05nzu*","Gabriel Magalhaes","ARS","D","49","FA","COV Fri 3:00PM","360","11.25","0%","0%"
"*03vlj*","Virgil van Dijk","LIV","D","50","FA","@NEW Sun 11:30AM","359.5","9.46","0%","0%"
"*06jgi*","Daniel Munoz","CRY","D","51","FA","@EVE Sat 10:00AM","357","12.31","0%","0%"
"*05gcc*","Kiernan Dewsbury-Hall","EVE","M","52","FA","CRY Sat 10:00AM","355","11.45","0%","0%"
"*04lav*","Ethan Ampadu","LEE","M","53","FA","@NOT Sat 10:00AM","351.5","10.04","0%","0%"
"*068lx*","Dango Ouattara","BRF","M","54","FA","TOT Sat 12:30PM","348.5","10.89","0%","0%"
"*06dmj*","Jurrien Timber","ARS","D","55","FA","COV Fri 3:00PM","346.5","11.55","0%","0%"
"*04qrc*","Raul Jimenez","FUL","F","56","FA","CHE Mon 3:00PM","346","9.61","0%","0%"
"*0435m*","Granit Xhaka","SUN","M","57","FA","@IPS Sat 10:00AM","344","10.12","0%","0%"
"*061vk*","Jaidon Anthony","BRF","M","58","FA","TOT Sat 12:30PM","341.5","9.23","0%","-"
"*06pia*","Maxence Lacroix","CRY","D","59","FA","@EVE Sat 10:00AM","336","9.6","0%","0%"
"*063q8*","Mikkel Damsgaard","BRF","M","60","FA","TOT Sat 12:30PM","335.5","10.17","0%","0%"
"*05r34*","Amad Diallo","MUN","M","61","FA","@HUL Sat 7:30AM","332","10.38","0%","0%"
"*061vp*","Brenden Aaronson","LEE","M","62","FA","@NOT Sat 10:00AM","328.5","8.88","0%","0%"
"*0520r*","Leandro Trossard","ARS","M","63","FA","COV Fri 3:00PM","326.5","10.53","0%","0%"
"*06jgs*","Adam Wharton","CRY","M","64","FA","@EVE Sat 10:00AM","324.5","9.54","0%","0%"
"*05w9i*","Marc Cucurella","CHE","D","65","FA","@FUL Mon 3:00PM","322.5","9.49","0%","0%"
"*0700p*","Malick Thiaw","NEW","D","66","FA","LIV Sun 11:30AM","322.5","9.21","0%","0%"
"*04io4*","Richarlison","TOT","F","67","FA","@BRF Sat 12:30PM","322.5","10.08","0%","0%"
"*04fk6*","Bernardo Silva","MCI","M","68","FA","BOU Sun 9:00AM","321","8.45","0%","0%"
"*06r5b*","Diego Gomez","BHA","M","69","FA","AVL Sun 9:00AM","320.5","10.02","0%","0%"
"*051k7*","Reece James","CHE","D","70","FA","@FUL Mon 3:00PM","319.5","11.02","0%","0%"
"*03aqp*","Mohamed Salah","LIV","F","71","FA","@NEW Sun 11:30AM","319.5","11.83","0%","0%"
"*062dt*","Joao Palhinha","TOT","M","72","FA","@BRF Sat 12:30PM","319","9.67","0%","0%"
"*06p6j*","Evanilson","BOU","F","73","FA","@MCI Sun 9:00AM","319","8.86","0%","0%"
"*06v0g*","Trai Hume","SUN","D","74","FA","@IPS Sat 10:00AM","317.5","8.36","0%","0%"
"*04qfz*","Diogo Dalot","MUN","D","75","FA","@HUL Sat 7:30AM","314","9.24","0%","0%"
"*02lnx*","Danny Welbeck","BHA","F","76","FA","AVL Sun 9:00AM","313","8.46","0%","0%"
"*02oq6*","Luke Shaw","MUN","D","77","FA","@HUL Sat 7:30AM","312.5","8.22","0%","0%"
"*0635j*","Chris Richards","CRY","D","78","FA","@EVE Sat 10:00AM","309","9.36","0%","0%"
"*05rb8*","Moises Caicedo","CHE","M","79","FA","@FUL Mon 3:00PM","308","9.33","0%","0%"
"*06zbz*","Hugo Ekitike","LIV","F","80","FA","@NEW Sun 11:30AM","308","11","0%","0%"
"*05o4b*","Matty Cash","AVL","D","81","FA","@BHA Sun 9:00AM","306.5","8.76","0%","0%"
"*04tsb*","Viktor Gyokeres","ARS","F","82","FA","COV Fri 3:00PM","306.5","8.51","0%","0%"
"*06phe*","Ferdi Kadioglu","BHA","D","83","FA","AVL Sun 9:00AM","301.5","8.15","0%","0%"
